OBJECTID,station_co,station_na,COMID,GNIS_NAME,ATTRIBUTE
64,305FRA,Pajaro River at Frazier Lake Road,17665471, ,
65,305PJP,Pajaro River at Porter/Main,17665505,Pajaro River,PSSCx
66,310PRE,Prefumo Creek  @ Calle Joaquin,8193639,Prefumo Creek,PFOC
67,309QUI,Quail Creek @ Hwy 101,948060078,Quail Creek,R4SBCx
68,309UQA,Quail Creek @ Old Stage Rd,8201815,Quail Creek,PUBFx
69,309QUA,Quail Creek at Potter Road crossing,948060078,Quail Creek,R4SBCx
70,309QCW,Quail Creek west of Hwy 101 @ RR tracks,948060078,Quail Creek,R4SBCx
71,309ALG,Salinas Reclamation Canal @ La Guardia,17604551,Alisal Creek,R2UBHx
72,309JON,Salinas Reclamation Canal @ San Jon Rd,17604479,Alisal Slough,R2UBHx
73,309AVR,Salinas Reclamation Canal @ Victor Rd,17604495,Alisal Slough,R2UBHx
74,309SAG,Salinas River @ Gonzales River Rd Bridge,948060280,Salinas River,R4SBC
75,309SSP,Salinas River @ Spreckels Gage,8200525,Salinas River,R4SBC
76,309USA,Salinas River At Bradley Bridge,8211471,Salinas River,R2UBG
77,309SAC,Salinas River at Chualar River Road,8200795,Salinas River,R4SBC
78,309GRN,Salinas River Elm Road in Greenfield,948060268,Salinas River,R4SBC
79,309SUN,Salinas River upstream Nacimiento @ Bradley Rd,8212733,Salinas River,R4SBC
80,305COR,Salsipuedes Creek downstream of Corralitos Creek,17663255,Salsipuedes Creek,PFOA
81,313SAE,San Antonio Creek at San Antonio Road East,17620568,San Antonio Creek,R2UBH
82,305SAN,San Benito at Y Road,17663353,San Benito River,
83,305SBH,San Benito River at Hollister near 156,17663521,San Benito River,R4SBC
84,305ACR,San Juan creek @ 1st St and Christopher Ranch,17663513, ,PSSCx
85,305SJA,San Juan Creek @ Anzar Rd,17663387, ,PEMHx
86,305MVR,San Juan Creek @ Mission Vineyard Rd near Hwy 156,17663549, ,R4SBCx
87,305PRR,San Juan Creek @ Prescott Rd,17663507, ,PEMHx
88,312SMA,Santa Maria River above Estuary,17623995,Santa Maria River,R1UBV
89,312SMI,Santa Maria River at Highway 1,17625463,Santa Maria River,R2UBH
90,309RTA,Santa Rita Creek @ Santa Rita Creek Park,17605311, ,R4SBCx
91,314SYN,Santa Ynez River at 13th Street,17608943,Santa Ynez River,R2UBH
92,314SYF,Santa Ynez River at Floradale Rd,948060202,Santa Ynez River,PSSA
93,314SYI,Santa Ynez River at Highway 101,17607929,Santa Ynez River,R4USA
94,314SYL,Santa Ynez River at Highway 246,948060325,Santa Ynez River,R4USA
95,305STL,Struve Slough at Lee Road,17663287, ,PEMCd
96,309TEH,Tembladero Slough @ Haro,17605297, ,R1UBV
97,305TSR,Tequisquita Slough upstream Pajaro River @ Shore Rd,17663151,Tequisquita Slough,
98,310WRP,Warden Creek @ Wetlands Restoration Preserve,8192635, ,PSS/FOCx
99,305WCS,Watsonville Creek (aka Corncob Canyon) at Elkhorn Rd/Hudson Lndg,17604009, ,R2UBHx
100,305WSA,Watsonville Slough upstream Harkins Slough,17663339, ,
101,304-CSD-10,"Noble Gulch Creek at Kennedy Drive, trib to Soquel Creek",17684376, ,
102,GAB-VET,Gabilan Creek at Veteran's Park,17604473,Gabilan Creek,R2UBHx
103,NAT-LAS,Natividad Creek at Las Casitas Drive,17604471,Natividad Creek,PFOC
104,309ALD,Salinas Reclamation Canal @ Boranda Rd,17604479,Alisal Slough,R2UBHx
105,309-SRITA-36,Santa Rita Creek at North Main Street and East Bolivar Street,17605311, ,R4SBCx
106,309-SRITA-34,Santa Rita Creek at Russell Road,17605311, ,R4SBCx
107,314WE0542,El Jaro Creek ~0.3 miles downstream from Ytias Creek.,17608421,El Jaro Creek,
108,305WE0883,Little Arthur Creek ~1mi W Redwood Retreat Rd.,17661455,Little Arthur Creek,R3UBH
109,314WE0898,Nojoqui Creek Hwy 101 ~1.4mi S Hwy 246,17608135,Nojoqui Creek,
110,314WE0796,Santa Cruz Creek WF ~3mi above Coche Creek,17609497, ,R4SBJ
111,313WE0899,Shuman Creek Pt Sal Rd. ~1.4mi W Casmalia,17619942, ,PFO/SSC
112,314WE0785,Unnamed Creek ~0.2mi SE Santa Ynez River,17607779, ,R2UBH
113,314WE0779,Coche Creek ~1mi above WF Santa Cruz Creek,17609583,Coche Creek,R4SBJ
114,314WE0677,Alamo Pintado Creek ~0.8mi above Figueroa Mtn. Rd.,17608911,Alamo Pintado Creek,
115,314WE1046,Kelly Creek ~0.8mi above Paradise Rd.,17610859,Kelly Creek,
116,304WE1096,Scott Creek ~0.7mi above Mill Creek,17682688,Scott Creek,PFOC
117,312WE1035,Sisquoc River ~0.2mi below Big Pine Canyon,17626489,Sisquoc River,R4SBJ
118,312WE1028,Sisquoc River ~0.8mi below Rattlesnake Canyon,17626437,Sisquoc River,R3UBF
119,312CAW052,Alamo Creek ~0.8mi below Branch Creek,17632248,Alamo Creek,
120,309CAW009,Arroyo Seco Creek ~0.6mi above Piney Cr.,8203299,Arroyo Seco,R3UBF
121,307CAW135,Carmel River CAW135,17599293,Carmel River,PFOA
122,310CAW176,Chorro Creek ~3.5mi above San Luisito Creek,8192613,Chorro Creek,R2UBH
123,312CAW031,Cuyama River ~1mi NE Carrizo Canyon Creek,17633094,Cuyama River,PEM1A
124,309CAW178,Rattle Snake Creek ~0.4mi above Pinal Creek,8204221,Rattlesnake Creek,PEM/SSC
