"","StationCode","N","turb_median","turb_max","turb_min","turb_quan1","turb_quan25","turb_quan5","turb_quan75","turb_quan9","turb_mean","N.gte.25","pct.gte.25","N.gte.40","pct.gte.40"
"310ARG","310ARG",49,0.1,41.4,0,0,0.1,0.1,2,7.84000000000001,2.88571428571429,1,2.04081632653061,1,2.04081632653061
"310BER","310BER",1,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,0,0,0,0
"310CAN","310CAN",119,1.56,7.83,0,0.678,0.975,1.56,2.25,3.124,1.73764705882353,0,0,0,0
"310CAW176","310CAW176",1,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0,0,0,0
"310CAW192","310CAW192",1,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.52,0,0,0,0
"310CAY","310CAY",4,0.1,0.1,0,0.03,0.075,0.1,0.1,0.1,0.075,0,0,0,0
"310CCC","310CCC",118,1.495,29.9,0.1,0.588,0.945,1.495,2.59,3.984,2.5028813559322,2,1.69491525423729,0,0
"310CER","310CER",148,1.91,56.1,0,0.754,1.265,1.91,3.17,5.095,2.89459459459459,1,0.675675675675676,1,0.675675675675676
"310CHD","310CHD",2,0.775,0.91,0.64,0.667,0.7075,0.775,0.8425,0.883,0.775,0,0,0,0
"310CHO","310CHO",79,1.37,5.6,0.11,0.834,1.135,1.37,2.045,2.92,1.67227848101266,0,0,0,0
"310CLK","310CLK",2,0.89,1.26,0.52,0.594,0.705,0.89,1.075,1.186,0.89,0,0,0,0
"310CLV","310CLV",30,0.715,5.9,0.15,0.287,0.415,0.715,1.4225,3.392,1.24866666666667,0,0,0,0
"310COO","310COO",42,0.98,9.9,0.1,0.474,0.735,0.98,1.465,3.192,1.46904761904762,0,0,0,0
"310CPN","310CPN",75,0.58,8.58,0.25,0.334,0.415,0.58,0.835,1.398,0.8612,0,0,0,0
"310DAL","310DAL",31,0.62,6.48,0.16,0.25,0.42,0.62,0.895,2.8,1.11161290322581,0,0,0,0
"310DAM","310DAM",49,0.49,4.37,0.13,0.198,0.29,0.49,0.9,1.554,0.768163265306122,0,0,0,0
"310DAU","310DAU",40,0.685,3.3,0.18,0.305,0.42,0.685,1.54,2.558,1.0795,0,0,0,0
"310LBC","310LBC",11,1.7,3.8,0.1,0.1,0.6,1.7,2.18,2.82,1.54363636363636,0,0,0,0
"310LPCBPC","310LPCBPC",1,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0,0,0,0
"310LSL","310LSL",4,2.005,98.4,1.43,1.574,1.79,2.005,26.175,69.51,25.96,1,25,1,25
"310LVR","310LVR",5,0.77,4.52,0.57,0.614,0.68,0.77,1.67,3.38,1.642,0,0,0,0
"310MNO","310MNO",4,1.985,3.36,1.54,1.627,1.7575,1.985,2.445,2.994,2.2175,0,0,0,0
"310MOL","310MOL",2,11.5,12.3,10.7,10.86,11.1,11.5,11.9,12.14,11.5,0,0,0,0
"310MOR","310MOR",2,2.7,5.3,0.1,0.62,1.4,2.7,4,4.78,2.7,0,0,0,0
"310OLD","310OLD",5,0.1,5.7,0,0,0,0.1,0.9,3.78,1.34,0,0,0,0
"310PCO","310PCO",5,0.5,5.6,0.1,0.14,0.2,0.5,3,4.56,1.88,0,0,0,0
"310PEN","310PEN",95,1.79,61.3,0.21,0.512,0.925,1.79,3.265,7.404,3.59842105263158,2,2.10526315789474,1,1.05263157894737
"310PIS","310PIS",71,2.2,90.1,0,0,0.1,2.2,6.4,36.8,10.4929577464789,11,15.4929577464789,7,9.85915492957746
"310PRE","310PRE",80,9.85,98.3,0.1,4.59,7.21,9.85,13.6,19.72,12.059,5,6.25,1,1.25
"310SBE","310SBE",37,1.05,6.29,0.11,0.584,0.71,1.05,1.47,2.386,1.3827027027027,0,0,0,0
"310SCN","310SCN",15,0.6,3.2,0,0.04,0.29,0.6,1.5,1.8,0.902666666666667,0,0,0,0
"310SCP","310SCP",5,0,0.1,0,0,0,0,0.1,0.1,0.04,0,0,0,0
"310SLB","310SLB",77,0.18,9.6,0,0,0,0.18,1.4,3.04,1.04454545454545,0,0,0,0
"310SLC","310SLC",6,0.1,0.5,0,0,0.025,0.1,0.325,0.45,0.183333333333333,0,0,0,0
"310SLD","310SLD",2,3.75,7.4,0.1,0.830000000000001,1.925,3.75,5.575,6.67,3.75,0,0,0,0
"310SLM","310SLM",14,0.18,6.3,0,0,0.1,0.18,1.8,3.28,1.17285714285714,0,0,0,0
"310SLU","310SLU",100,0.86,12.1,0.22,0.519,0.6575,0.86,1.14,1.775,1.1808,0,0,0,0
"310SLV","310SLV",15,0.9,4.2,0,0.152,0.45,0.9,2,3.38,1.41466666666667,0,0,0,0
"310SRO","310SRO",52,0.1,10.8,0,0,0,0.1,0.95,2.3,1.16730769230769,0,0,0,0
"310SRU","310SRU",14,0.1,1.2,0,0,0,0.1,0.1,0.41,0.171428571428571,0,0,0,0
"310SSC","310SSC",70,0.135,46.8,0,0,0,0.135,1.275,3.81,1.79471428571429,1,1.42857142857143,1,1.42857142857143
"310SSU","310SSU",6,1.225,6.4,0,0,0.075,1.225,3.7625,5.35,2.19166666666667,0,0,0,0
"310SYB","310SYB",80,16.15,39,1.11,7.659,11,16.15,22.525,32.92,17.932125,14,17.5,0,0
"310TCC","310TCC",2,0.35,0.7,0,0.0700000000000001,0.175,0.35,0.525,0.63,0.35,0,0,0,0
"310TOR","310TOR",7,0.1,0.1,0,0,0.05,0.1,0.1,0.1,0.0714285714285714,0,0,0,0
"310TUR","310TUR",59,2.87,24,0,1.424,1.93,2.87,4.42,8.76400000000001,4.28983050847458,0,0,0,0
"310TWB","310TWB",160,1.165,42.8,0,0,0.4375,1.165,2.3075,5.316,2.228375,1,0.625,1,0.625
"310UCR","310UCR",85,1.68,12.6,0.57,0.91,1.32,1.68,2.21,3.416,2.03435294117647,0,0,0,0
"310UPN","310UPN",56,0.765,12.9,0.2,0.37,0.5175,0.765,1.735,4.09,1.67303571428571,0,0,0,0
"310USG","310USG",66,2.75,22.7,0.1,1.065,1.8,2.75,4.07,9.965,4.20151515151515,0,0,0,0
"310USL","310USL",4,1.505,2.53,0.65,0.857,1.1675,1.505,1.885,2.272,1.5475,0,0,0,0
"310UWR","310UWR",10,2.195,8.24,0.53,0.944,1.1425,2.195,4.0225,4.766,2.891,0,0,0,0
"310VIA","310VIA",1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0
"310WRP","310WRP",68,1.215,22.2,0.1,0.1,0.665,1.215,2.195,4.382,2.08573529411765,0,0,0,0
"312ALA","312ALA",7,0.1,6.8,0.1,0.1,0.1,0.1,3.2,5.84,1.94285714285714,0,0,0,0
"312BCC","312BCC",23,25.8,3000,3.4,5.012,8.92,25.8,153.8,327.96,212.960869565217,12,52.1739130434783,10,43.4782608695652
"312BCD","312BCD",8,4.5,292.1,0.1,0.1,1.825,4.5,16.1,119.69,44.4625,2,25,2,25
"312BCF","312BCF",4,331.95,866.4,54.7,120.52,219.25,331.95,508.95,723.42,396.25,4,100,4,100
"312BCJ","312BCJ",71,33.1,738.3,1.97,10.3,19.3,33.1,84.2,332.2,92.7191549295775,45,63.3802816901408,29,40.8450704225352
"312BCU","312BCU",14,11.45,243,0.1,2.63,7.975,11.45,19.075,23.45,28.4928571428571,1,7.14285714285714,1,7.14285714285714
"312BRE","312BRE",6,0.85,2.6,0.1,0.1,0.2,0.85,1.8,2.3,1.08333333333333,0,0,0,0
"312BSR","312BSR",9,76.3,649,6.6,14.84,28.9,76.3,172,454.6,167,7,77.7777777777778,6,66.6666666666667
"312CAV","312CAV",8,0.75,6.5,0.1,0.1,0.1,0.75,1.775,3.35,1.5,0,0,0,0
"312CAW031","312CAW031",1,2.48,2.48,2.48,2.48,2.48,2.48,2.48,2.48,2.48,0,0,0,0
"312CAW052","312CAW052",1,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0,0,0,0
"312CCC","312CCC",1,7.15,7.15,7.15,7.15,7.15,7.15,7.15,7.15,7.15,0,0,0,0
"312CUY","312CUY",2,0.85,0.9,0.8,0.81,0.825,0.85,0.875,0.89,0.85,0,0,0,0
"312DAVDAV","312DAVDAV",1,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0,0,0,0
"312GVS","312GVS",60,5.67,1000,0.1,0.19,3.475,5.67,18.575,105.39,54.0218333333333,10,16.6666666666667,9,15
"312GVT","312GVT",11,32.3,357,0.1,0.1,7.65,32.3,123.85,267.1,90.8727272727273,6,54.5454545454545,5,45.4545454545455
"312HUA","312HUA",5,0.1,31,0,0.04,0.1,0.1,2.5,19.6,6.74,1,20,0,0
"312MAB","312MAB",5,12.6,50.6,8.5,8.74,9.1,12.6,37.1,45.2,23.58,2,40,1,20
"312MSD","312MSD",77,24.3,1043.2,0.1,10.2,12.6,24.3,47.9,110.8,70.3071428571429,38,49.3506493506493,22,28.5714285714286
"312MSS","312MSS",13,10.6,58.4,0,0.02,1.6,10.6,22,48.88,16.6153846153846,3,23.0769230769231,2,15.3846153846154
